GeneID,GeneName
8934,RAB7L
147798,TMC4
641371,ACOT1
170591,S100Z
51290,ERGI2
4597,MVD1
54836,BSPRY
4152,MBD1
200316,ABC3F
344787,ZN860
23131,GPTC8
403277,OR5K3
51574,LARP7
3753,KCNE1
51061,TXD11
80765,STAR5
11219,TREX2
64087,MCCB
2182,ACSL4
57705,WDFY4
622,BDH
55216,NKAP1
2790,GBG10
199777,ZN626
9333,TGM5
124538,OR4D2
128853,DUS15
29068,ZBT44
25849,PARM1
344752,ADCL2
100505741,SPAT1
85458,DIXC1
27347,STK39
260436,FDSCP
56098,PCDGL
885,CCKN
2016,EMX1
23774,BRD1
57549,TUTLA
5709,PSMD3
23164,MPRIP
57124,CD248
122748,O11H6
65260,COA7
54766,BTG4
7461,CLIP2
23339,VPS39
54821,ERC6L
64096,GFRA4
146894,CLM9
349667,R4RL2
5874,RB27B
3687,ITAX
150297,CV042
55135,TCAB1
27290,ISK4
389524,GTD2B
23025,UN13A
55727,BTBD7
55780,EMARD
6815,STYX
1549,CP2A7
79290,O13A1
5697,PYY
6476,SUIS
56475,RPRM
1954,MEGF8
23620,NTR2
2873,CSN1
8435,SOAT2
124460,SNX20
4891,NRAM2
3655,ITA6
79098,SARG
4481,MSRE
80025,PANK2
4316,MMP7
5720,PSME1
115811,DRC10
7881,KCAB1
18,GABT
56147,PCDA1
84695,LOXL3
5596,MK04
9527,GOSR1
140706,CCM2L
144983,RA1L2
2668,GDNF
2152,TF
23619,ZIM2
115098,CC124
155054,ZN425
60509,CBPC5
7423,VEGFB
6839,SUV91
2253,FGF8
81470,OR2G2
440153,O11HC
79573,TTC13
2175,FANCA
54069,MS18A
23640,HPBP1
178,GDE
149954,BPIB4
285051,STPG4
51384,WNT16
51495,HACD3
8029,CUBN
8898,MTMR2
51517,SPN90
26285,CLD17
84667,HES7
166824,RASF6
1060,CENPC
91833,WDR20
341676,NEK5
64648,SPNXD
5118,PCOC1
79364,ZXDC
1774,DNSL1
4077,NBR1
7298,TYSY
23234,DNJC9
25865,KPCD2
729440,CCD61
28978,TM14A
6677,HYALP
192670,AGO4
255104,TMCO4
8082,SSPN
2204,FCAR
9131,AIFM1
150771,IPIL1
8729,GBF1
27153,ZN777
10911,UTS2
285242,5HT3E
54429,TA2R5
135946,OR6B1
1814,DRD3
4718,NDUC2
144423,GL1D1
177,RAGE
10114,HIPK3
26007,TKFC
221301,CAHM4
441581,FRG2B
54102,CLIC6
134,AA1R
9938,RHG25
151050,KAL1L
9630,GNA14
51239,ANR39
23626,SPO11
417,NAR1
9887,SMG7
1994,ELAV1
55719,SLF2
56160,NSE3
388886,LR75B
285382,CC070
5528,2A5D
9150,CTDP1
54097,FAM3B
5095,PCCA
55676,ZNT6
1457,CSK21
83540,NUF2
79575,ABHD8
10885,WDR3
7227,TRPS1
27233,ST1C4
501,AL7A1
6915,TA2R
286514,MAGBI
84641,MF14B
100507027,MLN
23518,R3HD1
1663,DDX11
25778,DUSTY
60673,ATGA1
170384,FUT11
10201,NDK6
3809,KI2S4
51438,MAGC2
140767,NRSN1
245932,DB119
56886,UGGG1
9037,SEM5A
8663,EIF3C
7704,ZBT16
9444,QKI
55276,PGM2
7042,TGFB2
410,ARSA
10781,ZN266
25820,ARI1
6835,SURF2
57691,K1586
160518,DEN5B
51554,ACKR4
9205,ZMYM5
374875,DHI1L
118461,CEFIP
27342,RABX5
27023,FOXB1
113540,CKLF1
53917,RAB24
55145,THAP1
51091,SPCS
5733,PE2R3
3188,HNRH2
6209,RS15
23158,TBCD9
112869,SGF29
117194,MRGX2
79886,CAAP1
338328,HDBP1
546,ATRX
146542,ZN688
376497,S27A1
147929,ZN565
124626,ZPBP2
7849,PAX8
254048,UBN2
10335,IRAG1
283576,ZDH22
120224,TM45B
162427,RETR3
57602,UBP36
2628,GATM
1149,CIDEA
170572,5HT3C
57699,CPNE5
442247,RFPLB
6880,TAF9
259286,T2R40
57030,VGLU1
339896,GADL1
146691,TM1L2
54834,GDAP2
51318,RM35
84256,FWCH1
54788,DJB12
163702,INLR1
23746,AIPL1
6941,TCF19
79989,IFT56
139411,PTHD1
11228,RASF8
56917,MEIS3
51802,ASIC5
284352,PPR37
1361,CBPB2
9933,PUM3
9942,XYLB
1195,CLK1
2720,BGAL
391194,OR2M2
54659,UD13
10923,TCP4
257044,CTSRE
79748,LMA1L
7289,TULP3
26268,FBX9
57717,PCDBG
7283,TBG1
2055,CLN8
6444,SGCD
2065,ERBB3
219743,TYSD1
22821,RASA3
25917,THUM3
26526,TSN16
57408,LRTM1
54957,TXN4B
126259,TMIG2
257169,CI043
64118,DUS1L
65055,REEP1
84896,ATAD1
2188,FANCF
10826,FXDC2
